"ѕоварЄнок.ру - всЄ о кулинарии";1351249;"http://www.povarenok.ru/"

"ƒата";"ѕосетители";"Ќовые посетители";"ядро";"’осты";"ѕросмотры";"√лубина"
"16 ма€";55344;0;0;53058;393170;7.104
"15 ма€";50669;0;0;49100;382926;7.557
"14 ма€";57807;0;0;55699;450277;7.789
"13 ма€";59522;0;0;57254;472906;7.945
"12 ма€";61477;0;0;58721;455002;7.401
"11 ма€";60415;0;0;57865;464498;7.688
"10 ма€";55896;0;0;53426;403548;7.220
"9 ма€";43219;0;0;42023;304625;7.048
"8 ма€";52918;0;0;50911;376957;7.123
"7 ма€";61738;0;0;58997;474936;7.693
"6 ма€";63048;0;0;60321;509194;8.076
"5 ма€";59264;0;0;56660;481381;8.123
"4 ма€";59444;0;0;56931;472507;7.949
"3 ма€";53157;0;0;51298;412700;7.764
"2 ма€";47772;0;0;46227;361380;7.565
"1 ма€";45177;0;0;43877;332836;7.367
"30 апрел€";61327;0;0;58701;498358;8.126
"29 апрел€";64714;0;0;61907;542221;8.379
"28 апрел€";67149;0;0;64028;546247;8.135
"27 апрел€";62718;0;0;60141;509005;8.116
"26 апрел€";64034;0;0;61132;519201;8.108
"25 апрел€";58841;0;0;56397;423047;7.190
"24 апрел€";57734;0;0;55274;431529;7.474
"23 апрел€";63917;0;0;60895;525723;8.225
"22 апрел€";63582;0;0;60784;518786;8.159
"21 апрел€";68037;0;0;64579;528780;7.772
"20 апрел€";65897;0;0;62659;506443;7.685
"19 апрел€";62971;0;0;60369;481790;7.651
"18 апрел€";59800;0;0;56979;428586;7.167
"17 апрел€";58795;0;0;56190;432994;7.364
"16 апрел€";62388;0;0;59391;495388;7.940
"15 апрел€";61182;0;0;58496;492345;8.047
"14 апрел€";61764;0;0;59276;499683;8.090
"13 апрел€";60538;0;0;58025;473260;7.818
"12 апрел€";61544;0;0;58949;486473;7.904
"11 апрел€";56559;0;0;54253;418023;7.391
"10 апрел€";56158;0;0;53766;428525;7.631
"9 апрел€";61249;0;0;58901;487830;7.965
"8 апрел€";60143;0;0;57743;490845;8.161
"7 апрел€";60141;0;0;57639;488283;8.119
"6 апрел€";54139;0;0;52472;437842;8.087
"5 апрел€";51607;0;0;49977;409124;7.928
"4 апрел€";45571;0;0;44659;303749;6.665
"3 апрел€";86464;0;0;81566;589635;6.819
"2 апрел€";91463;0;0;86045;740355;8.095
"1 апрел€";74964;0;0;71416;624591;8.332
"31 марта";74573;0;0;70802;622079;8.342
"30 марта";70188;0;0;66740;600389;8.554
"29 марта";69293;0;0;66138;577671;8.337
"28 марта";64800;0;0;62132;503716;7.773
